Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Upstream_Device_Type,Downstream_Equipment_Number,Downstream_Equipment_ID,Downstream_Device_Type,Check_Type,Phase_Fault_Current_A,Phase_Upstream_Time_s,Phase_Downstream_Time_s,Phase_Margin_s,Phase_Required_Margin_s,Phase_Violation,Ground_Fault_Current_A,Ground_Upstream_Time_s,Ground_Downstream_Time_s,Ground_Margin_s,Ground_Required_Margin_s,Ground_Violation,Upstream_Phase_Pickup_A,Upstream_Phase_Curve,Upstream_Phase_TD,Upstream_Ground_Pickup_A,Upstream_Ground_Curve,Upstream_Ground_TD,Downstream_Phase_Pickup_A,Downstream_Phase_Curve,Downstream_Phase_TD,Downstream_Ground_Pickup_A,Downstream_Ground_Curve,Downstream_Ground_TD,Upstream_Total_Customers,Downstream_Total_Customers,Customers_Erroneously_Disconnected,Upstream_Device_Downstream_A_PH_cKVA,Upstream_Device_Downstream_B_PH_cKVA,Upstream_Device_Downstream_C_PH_cKVA,Upstream_Device_Total_Downstream_3PH_cKVA,Downstream_Device_Downstream_A_PH_cKVA,Downstream_Device_Downstream_B_PH_cKVA,Downstream_Device_Downstream_C_PH_cKVA,Downstream_Device_Total_Downstream_3PH_cKVA,Notes
67271203,1XMK70_650937711,K_65A,Fuse,1X5X48_660619411,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2205.0,0.0171,0.0375,-0.0204,0.0,True,,,,,65K,,,,,,65K,,8,6,2,225.0,0.0,0.0,0,150.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38917685,T_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3330.0,0.0158,0.0738,-0.0580,0.0,True,,,,450.0000,102,1.0000,,,,,80T,,601,91,510,6538.0,5482.0,5915.0,11116.0,0.0,445.0,290.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38918067,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,2841.0,0.0159,0.0388,-0.0229,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,17,584,6538.0,5482.0,5915.0,11116.0,0.0,0.0,135.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38918055,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3032.0,0.0158,0.0354,-0.0196,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,2,599,6538.0,5482.0,5915.0,11116.0,0.0,0.0,25.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38939737,K_65A,Fuse,Breaker-Fuse,3239.0,0.0110,0.0234,-0.0124,0.0,True,2748.0,0.0159,0.0281,-0.0122,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,65K,,,65K,,601,1,600,6538.0,5482.0,5915.0,11116.0,75.0,75.0,75.0,225.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38934992,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,2207.0,0.0159,0.0375,-0.0216,0.0,True,,,,450.0000,102,1.0000,,,,,65K,,601,12,589,6538.0,5482.0,5915.0,11116.0,100.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,243R91_38923772,T_80A,Fuse,Breaker-Fuse,2866.0,0.0110,0.0948,-0.0838,0.0,True,2306.0,0.0159,0.1393,-0.1234,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80T,,,80T,,601,6,595,6538.0,5482.0,5915.0,11116.0,225.0,175.0,175.0,525.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,2P3M86_38932749,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,4600.0,0.0157,0.0215,-0.0058,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,3,598,6538.0,5482.0,5915.0,11116.0,15.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,1A10_650937722,T_80A,Fuse,Breaker-Fuse,,,,,0.0,False,2404.0,0.0159,0.1286,-0.1127,0.0,True,,,,450.0000,102,1.0000,,,,,80T,,601,17,584,6538.0,5482.0,5915.0,11116.0,618.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38918061,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3032.0,0.0158,0.0354,-0.0196,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,3,598,6538.0,5482.0,5915.0,11116.0,25.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,1A10_38934982,T_40A,Fuse,Breaker-Fuse,,,,,0.0,False,2404.0,0.0159,0.0455,-0.0296,0.0,True,,,,450.0000,102,1.0000,,,,,40T,,601,1,600,6538.0,5482.0,5915.0,11116.0,25.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,373707038,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,2747.0,0.0159,0.0281,-0.0123,0.0,True,,,,450.0000,102,1.0000,,,,,65K,,601,2,599,6538.0,5482.0,5915.0,11116.0,0.0,0.0,60.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38934996,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,2125.0,0.0159,0.0394,-0.0235,0.0,True,,,,450.0000,102,1.0000,,,,,65K,,601,19,582,6538.0,5482.0,5915.0,11116.0,0.0,0.0,130.0,0,
